id,resume_text,category,group_id
321,"Worked on experiment, cloud, theory, monitoring. Delivered: ran feature selection and cross-validation at scale. Mentored junior engineers and contributed to open-source tooling. Worked on experiment, theory. Delivered: created dashboards to surface business KPIs.",Data Scientist,21
2678,"Worked on python, experiment, gcp, pytorch. Delivered: implemented model evaluation and automated tests. Responsibilities: python, pytorch, gcp, ci/cd. Achievements: implemented model evaluation and automated tests.",ML Engineer,178
4625,"Collaborated closely with product and platform teams to define SLAs. Core skills: gcp, experiment, pipeline, automation. Recent work includes deployed services as containers with CI/CD. Core skills: pipeline, etl. Recent work includes deployed services as containers with CI/CD.",Data Engineer,225
4949,"core skills: automation, kafka, benchmark. recent work includes built scalable data pipelines with retries and monitoring. core skills: automation, benchmark, kafka, pipeline. recent work includes designed etl jobs and partitioning for low-latency queries. worked on automation, kafka, pipeline, benchmark. delivered: built scalable data pipelines with retries and monitoring.",Data Engineer,249
8328,"Worked on experiment, python, text-to-image. Delivered: deployed services as containers with CI/CD. Contributed to implemented model evaluation and automated tests and owned experiment, automation. Collaborated closely with product and platform teams to define SLAs.",Generative AI,428
3337,"Responsibilities: latency, visualization, monitoring. Achievements: model compression. Core skills: monitoring, visualization, testing, latency. Recent work includes model compression.",ML Engineer,137
5589,"responsibilities: feature engineering, docker. achievements: designed etl jobs and partitioning for low-latency queries. core skills: monitoring, docker, data warehousing. recent work includes implemented model evaluation and automated tests. collaborated closely with product and platform teams to define slas.",Data Engineer,289
251,"Data Scientist — experience building ML & data products. mentored junior engineers and contributed to open-source tooling. contributed to ran feature selection and cross-validation at scale and owned eda, eda. contributed to built scalable data pipelines with retries and monitoring and owned eda, monitoring.",Data Scientist,51
3973,"contributed to deployed services as containers with ci/cd and owned schema, sql. contributed to deployed services as containers with ci/cd and owned sql, experiment, statistical modeling, schema. involved in poc. contributed to deployed services as containers with ci/cd and owned schema, statistical modeling, experiment, sql. involved in internship. involved in open-source.",ML Engineer,173
6630,"Worked on cloud, sql, theory, self-supervised. Delivered: wrote papers describing novel architectures and results. Worked on self-supervised, cloud. Delivered: built scalable data pipelines with retries and monitoring. Core skills: self-supervised, cloud. Recent work includes wrote papers describing novel architectures and results. Mentored junior engineers and contributed to open-source tooling. Core skills: self-supervised, sql, cloud, theory. Recent work includes created dashboards to surface business KPIs.",AI Researcher,330
5547,"Worked on feature engineering, testing, latency, experiment. Delivered: deployed services as containers with CI/CD. Contributed to designed metric-driven experiments and tracked results and owned experiment, feature engineering. Contributed to managed streaming pipelines and schema evolution and owned testing, latency, feature engineering.",Data Engineer,247
35,"Contributed to created dashboards to surface business KPIs and owned feature eng, sql. Core skills: api, sql. Recent work includes developed forecasting models and validated with backtesting. Contributed to created dashboards to surface business KPIs and owned experiment, sql.",Data Scientist,35
8362,"Responsibilities: gcp, monitoring, automation. Achievements: built retrieval-augmented generation flows and safety filters. Responsibilities: monitoring, automation, gcp. Achievements: built scalable data pipelines with retries and monitoring. Core skills: gcp, automation. Recent work includes built retrieval-augmented generation flows and safety filters.",Generative AI,462
1513,"Involved in collab. Involved in internship. Contributed to designed metric-driven experiments and tracked results and owned cloud, testing, visualization, feature engineering. Worked on docker, feature engineering, visualization, testing. Delivered: developed forecasting models and validated with backtesting. Contributed to developed forecasting models and validated with backtesting and owned cloud, visualization. Involved in cross-functional. Contributed to developed forecasting models and validated with backtesting and owned cloud, feature engineering, visualization.",Data Scientist,13
9317,"Generative AI — experience building ML & data products. core skills: llm, cloud, ci/cd. recent work includes built retrieval-augmented generation flows and safety filters. responsibilities: ci/cd, sql, cloud. achievements: deployed services as containers with ci/cd.",Generative AI,417
39,"Contributed to developed forecasting models and validated with backtesting and owned regression, pipeline, docker, regression. Responsibilities: python, pipeline. Achievements: designed metric-driven experiments and tracked results. Responsibilities: regression, python. Achievements: developed forecasting models and validated with backtesting.",Data Scientist,39
4819,"Data Engineer — experience building ML & data products. Core skills: sql, pytorch, python. Recent work includes deployed services as containers with CI/CD. Worked on pytorch, python, aws, sql. Delivered: deployed services as containers with CI/CD.",Data Engineer,219
3465,"Responsibilities: pytorch, pandas, python. Achievements: productionized model serving with autoscaling and caching. Core skills: pandas, pytorch, gcp, feature engineering. Recent work includes deployed services as containers with CI/CD. Worked on testing, gcp, pytorch. Delivered: deployed services as containers with CI/CD.",ML Engineer,165
1760,"responsibilities: statistical modeling, automation. achievements: designed metric-driven experiments and tracked results. core skills: latency, statistical modeling, visualization, gcp. recent work includes designed metric-driven experiments and tracked results. responsibilities: statistical modeling, visualization, latency. achievements: developed forecasting models and validated with backtesting. worked on gcp, automation, statistical modeling. delivered: developed forecasting models and validated with backtesting.",Data Scientist,60
2304,"responsibilities: tensorflow, tensorflow. achievements: created dashboards to surface business kpis. worked on tensorflow, experiment, monitoring, api. delivered: created dashboards to surface business kpis. responsibilities: experiment, monitoring. achievements: deployed services as containers with ci/cd.",ML Engineer,104
3723,"Core skills: model registry, pipeline, experiment, testing. Recent work includes implemented model evaluation and automated tests. Core skills: model registry, experiment. Recent work includes built scalable data pipelines with retries and monitoring. Core skills: pipeline, testing, model registry, experiment. Recent work includes built scalable data pipelines with retries and monitoring.",ML Engineer,123
8284,"Core skills: eda, text-to-image, text-to-image. Recent work includes deployed services as containers with CI/CD. Collaborated closely with product and platform teams to define SLAs. Worked on cloud, text-to-image. Delivered: deployed services as containers with CI/CD. Core skills: streaming messaging system, text-to-image, eda, text-to-image. Recent work includes built retrieval-augmented generation flows and safety filters.",Generative AI,484
4993,"core skills: gcp, sql, aws, sql. recent work includes designed etl jobs and partitioning for low-latency queries. contributed to built scalable data pipelines with retries and monitoring and owned sql, aws, sql, etl. worked on sql, gcp, aws. delivered: built scalable data pipelines with retries and monitoring.",Data Engineer,293
8127,"Generative AI — experience building ML & data products. Responsibilities: kafka, aws. Achievements: implemented model evaluation and automated tests. Involved in on-call. Contributed to implemented model evaluation and automated tests and owned pipeline, sql.",Generative AI,427
3032,"Core skills: model registry, sql, aws. Recent work includes deployed services as containers with CI/CD. Responsibilities: kafka, aws, sql, model registry. Achievements: deployed services as containers with CI/CD. Core skills: model registry, sql. Recent work includes productionized model serving with autoscaling and caching. Contributed to designed metric-driven experiments and tracked results and owned kafka, cloud, sql, model registry.",ML Engineer,132
7938,"Worked on api, monitoring, aws. Delivered: ran reproducible experiments and released code with ablations. Responsibilities: aws, monitoring. Achievements: created dashboards to surface business KPIs.",AI Researcher,338
3039,"Contributed to model compression and owned python, llm, docker, cloud. Core skills: python, cloud, llm, automation. Recent work includes model compression. Worked on docker, llm, automation. Delivered: built scalable data pipelines with retries and monitoring. Responsibilities: docker, llm. Achievements: model compression. Focused on robust monitoring, logging, and reproducibility.",ML Engineer,139
9655,"Responsibilities: cloud, llm, monitoring. Achievements: built scalable data pipelines with retries and monitoring. Responsibilities: aws, llm, cloud. Achievements: built retrieval-augmented generation flows and safety filters.",Generative AI,455
2545,"Worked on experiment, tensorflow, inpainting. Delivered: deployed services as containers with CI/CD. Worked on experiment, inpainting. Delivered: deployed services as containers with CI/CD. Focused on robust monitoring, logging, and reproducibility. Responsibilities: tensorflow, inpainting, experiment, gcp. Achievements: deployed services as containers with CI/CD. Responsibilities: gcp, tensorflow, experiment. Achievements: productionized model serving with autoscaling and caching.",ML Engineer,145
2592,"Responsibilities: python, pipeline, transformer, testing. Achievements: productionized model serving with autoscaling and caching. Worked on transformer, monitoring. Delivered: created dashboards to surface business KPIs. Responsibilities: testing, pipeline, transformer. Achievements: created dashboards to surface business KPIs. Responsibilities: transformer, python. Achievements: productionized model serving with autoscaling and caching. Mentored junior engineers and contributed to open-source tooling.",ML Engineer,192
1188,"Core skills: testing, api, pandas, experiment. Recent work includes built scalable data pipelines with retries and monitoring. Worked on python, pandas, testing, api. Delivered: built scalable data pipelines with retries and monitoring. Core skills: pandas, experiment, api, testing. Recent work includes built scalable data pipelines with retries and monitoring.",Data Scientist,88
7966,"Contributed to wrote papers describing novel architectures and results and owned ablation, python, theory, gcp. Core skills: ablation, theory. Recent work includes wrote papers describing novel architectures and results. Contributed to designed metric-driven experiments and tracked results and owned experiment, ablation.",AI Researcher,366
6077,"AI Researcher — experience building ML & data products. Contributed to implemented model evaluation and automated tests and owned python, api. Responsibilities: api, ablation. Achievements: implemented model evaluation and automated tests.",AI Researcher,377
107,"Core skills: statistical modeling, automation. Recent work includes ran feature selection and cross-validation at scale. Core skills: automation, statistical modeling, theory. Recent work includes ran feature selection and cross-validation at scale. Responsibilities: pipeline, cloud. Achievements: ran feature selection and cross-validation at scale.",Data Scientist,7
1315,"contributed to built scalable data pipelines with retries and monitoring and owned testing, self-supervised. worked on automation, pipeline, testing, self-supervised. delivered: built scalable data pipelines with retries and monitoring.",Data Scientist,15
8187,"Core skills: llm, experiment, aws. Recent work includes adaptation of a pretrained model. Responsibilities: aws, experiment. Achievements: implemented model evaluation and automated tests. Contributed to implemented model evaluation and automated tests and owned experiment, sql, llm, aws. Involved in on-call. Involved in cross-functional. Involved in sla. Core skills: experiment, aws. Recent work includes implemented model evaluation and automated tests.",Generative AI,487
2753,"responsibilities: monitoring, api. achievements: deployed services as containers with ci/cd. responsibilities: api, monitoring. achievements: optimized inference latency via quantization and batching. responsibilities: api, monitoring. achievements: deployed services as containers with ci/cd.",ML Engineer,153
9753,"contributed to built retrieval-augmented generation flows and safety filters and owned docker, cloud. worked on docker, sql. delivered: implemented model evaluation and automated tests.",Generative AI,453
6231,"AI Researcher — experience building ML & data products. Worked on gcp, feature engineering, transformer, ablation. Delivered: ran reproducible experiments and released code with ablations. Core skills: ablation, gcp, feature engineering, docker. Recent work includes implemented model evaluation and automated tests. Core skills: transformer, gcp, ablation. Recent work includes ran reproducible experiments and released code with ablations.",AI Researcher,331
2876,"Contributed to implemented model evaluation and automated tests and owned pipeline, automation, testing, visualization. Worked on testing, tensorflow, pipeline. Delivered: deployed services as containers with CI/CD. Contributed to deployed services as containers with CI/CD and owned tensorflow, pipeline, automation. Core skills: visualization, tensorflow, testing. Recent work includes deployed services as containers with CI/CD.",ML Engineer,176
5323,"core skills: schema, distributed compute engine. recent work includes created dashboards to surface business kpis. worked on cloud, distributed compute engine, sql, schema. delivered: designed metric-driven experiments and tracked results.",Data Engineer,223
799,"Responsibilities: experiment, data warehousing, aws. Achievements: built scalable data pipelines with retries and monitoring. Contributed to developed forecasting models and validated with backtesting and owned data warehousing, aws.",Data Scientist,99
3570,"core skills: transformer, aws, testing. recent work includes deployed services as containers with ci/cd. responsibilities: testing, transformer. achievements: deployed services as containers with ci/cd. focused on robust monitoring, logging, and reproducibility. responsibilities: testing, transformer, model registry, aws. achievements: productionized model serving with autoscaling and caching.",ML Engineer,170
2894,"Core skills: feature engineering, sql. Recent work includes reduced-precision optimization. Worked on serving, aws. Delivered: reduced-precision optimization. Core skills: sql, serving, aws, feature engineering. Recent work includes reduced-precision optimization.",ML Engineer,194
2927,"Worked on gcp, visualization, docker. Delivered: productionized model serving with autoscaling and caching. Contributed to productionized model serving with autoscaling and caching and owned spark, feature engineering.",ML Engineer,127
8178,"responsibilities: api, python. achievements: built retrieval-augmented generation flows and safety filters. focused on robust monitoring, logging, and reproducibility. contributed to implemented model evaluation and automated tests and owned sql, python. core skills: text-to-image, python. recent work includes implemented model evaluation and automated tests. core skills: sql, gcp. recent work includes implemented model evaluation and automated tests.",Generative AI,478
971,"Data Scientist — experience building ML & data products. Responsibilities: aws, automation, scikit-learn, pipeline. Achievements: designed metric-driven experiments and tracked results. Responsibilities: testing, aws, scikit-learn, automation. Achievements: developed forecasting models and validated with backtesting. Core skills: testing, scikit-learn, pipeline. Recent work includes designed metric-driven experiments and tracked results.",Data Scientist,71
6687,"Responsibilities: transformer, api, cloud, self-supervised. Achievements: designed metric-driven experiments and tracked results. Worked on api, transformer, self-supervised, cloud. Delivered: designed metric-driven experiments and tracked results. Responsibilities: api, cloud. Achievements: wrote papers describing novel architectures and results. Worked on cloud, api, self-supervised. Delivered: wrote papers describing novel architectures and results.",AI Researcher,387
8575,"Worked on prompt, python, neural language model. Delivered: implemented model evaluation and automated tests. Responsibilities: cloud, docker. Achievements: built scalable data pipelines with retries and monitoring. Contributed to built scalable data pipelines with retries and monitoring and owned cloud, neural language model. Mentored junior engineers and contributed to open-source tooling. Responsibilities: automation, docker. Achievements: implemented model evaluation and automated tests.",Generative AI,475
2020,"ML Engineer — experience building ML & data products. Contributed to productionized model serving with autoscaling and caching and owned sql, automation, aws. Responsibilities: automation, inpainting, monitoring, aws. Achievements: deployed services as containers with CI/CD. Core skills: automation, sql. Recent work includes productionized model serving with autoscaling and caching.",ML Engineer,120
9054,"Contributed to implemented model evaluation and automated tests and owned monitoring, experiment, sql. Contributed to designed metric-driven experiments and tracked results and owned docker, aws.",Generative AI,454
952,"Contributed to designed metric-driven experiments and tracked results and owned experiment, automation, visualization. Core skills: automation, scikit-learn, visualization. Recent work includes ran feature selection and cross-validation at scale. Responsibilities: visualization, scikit-learn, experiment. Achievements: ran feature selection and cross-validation at scale.",Data Scientist,52
5359,"Core skills: streaming messaging system, spark. Recent work includes designed ETL jobs and partitioning for low-latency queries. Worked on python, automation, cloud, spark. Delivered: designed ETL jobs and partitioning for low-latency queries. Contributed to created dashboards to surface business KPIs and owned spark, python, automation, cloud.",Data Engineer,259
3857,"Responsibilities: monitoring, latency. Achievements: model compression. Worked on inpainting, tensorflow. Delivered: model compression. Responsibilities: inpainting, testing. Achievements: model compression. Contributed to model compression and owned testing, tensorflow, monitoring.",ML Engineer,157
5861,"Core skills: python, pipeline, neural language model. Recent work includes created dashboards to surface business KPIs. Contributed to managed streaming pipelines and schema evolution and owned kafka, neural language model. Responsibilities: pipeline, testing, neural language model. Achievements: managed streaming pipelines and schema evolution. Core skills: pipeline, gcp, python, neural language model. Recent work includes created dashboards to surface business KPIs.",Data Engineer,261
3145,"Contributed to productionized mdl serving with autoscaling and caching and owned experiment, cloud, mdl registry. Worked on gcp, cloud. Delivered: built scalable data pipelines with retries and monitoring. Contributed to built scalable data pipelines with retries and monitoring and owned gcp, mdl registry. Collaborated closely with product and platform teams to define SLAs.",ML Engineer,145
3305,"Contributed to designed metric-driven experiments and tracked results and owned automation, pipeline, feature engineering, regression. Responsibilities: regression, automation, aws, pipeline. Achievements: optimized inference latency via quantization and batching. Core skills: pipeline, automation. Recent work includes designed metric-driven experiments and tracked results.",ML Engineer,105
3006,"core skills: pipeline, eda, gcp, automation. recent work includes implemented model evaluation and automated tests. contributed to deployed services as containers with ci/cd and owned cloud, automation.",ML Engineer,106
9001,"Generative AI — experience building ML & data products. Responsibilities: prompt, cloud. Achievements: built retrieval-augmented generation flows and safety filters. Contributed to created dashboards to surface business KPIs and owned cloud, prompt.",Generative AI,401
7770,"Core skills: docker, sql, testing. Recent work includes built scalable data pipelines with retries and monitoring. Worked on docker, testing. Delivered: designed metric-driven experiments and tracked results.",AI Researcher,370
7438,"Responsibilities: paper, testing. Achievements: wrote papers describing novel architectures and results. Core skills: testing, paper, ablation, aws. Recent work includes implemented model evaluation and automated tests. Core skills: ablation, paper, testing. Recent work includes wrote papers describing novel architectures and results.",AI Researcher,338
7942,"Worked on benchmark, aws, monitoring, paper. Delivered: deployed services as containers with CI/CD. Core skills: paper, benchmark, testing, monitoring. Recent work includes wrote papers describing novel architectures and results. Core skills: benchmark, paper, testing, aws. Recent work includes wrote papers describing novel architectures and results.",AI Researcher,342
9238,"Worked on diffusion, gcp, schema, docker. Delivered: built retrieval-augmented generation flows and safety filters. Contributed to created dashboards to surface business KPIs and owned experiment, schema. Responsibilities: schema, docker, gcp. Achievements: built retrieval-augmented generation flows and safety filters. Contributed to built retrieval-augmented generation flows and safety filters and owned gcp, docker.",Generative AI,438
1056,"Contributed to developed forecasting models and validated with backtesting and owned experiment, sql. Responsibilities: experiment, eda, sql. Achievements: deployed services as containers with CI/CD. Core skills: experiment, sql, eda. Recent work includes developed forecasting models and validated with backtesting.",Data Scientist,56
3154,"ML Engineer — experience building ML & data products. Core skills: feature engineering, latency, sql. Recent work includes designed metric-driven experiments and tracked results. Core skills: sql, feature engineering, latency. Recent work includes designed metric-driven experiments and tracked results. Worked on sql, feature engineering. Delivered: deployed services as containers with CI/CD. Core skills: latency, feature engineering, sql. Recent work includes deployed services as containers with CI/CD.",ML Engineer,154
3787,"Responsibilities: serving, aws, python, ci/cd. Achievements: implemented model evaluation and automated tests. Collaborated closely with product and platform teams to define SLAs. Contributed to optimized inference latency via quantization and batching and owned serving, aws, serving, ci/cd.",ML Engineer,187
9189,"Core skills: feature engineering, aws, fine-tune. Recent work includes built scalable data pipelines with retries and monitoring. Core skills: feature engineering, fine-tune, aws. Recent work includes created dashboards to surface business KPIs. Core skills: feature engineering, fine-tune. Recent work includes adaptation of a pretrained model.",Generative AI,489
7825,"Contributed to wrote papers describing novel architectures and results and owned cloud, ablation. Focused on robust monitoring, logging, and reproducibility. Contributed to implemented model evaluation and automated tests and owned cloud, api.",AI Researcher,325
7539,"Focused on robust monitoring, logging, and reproducibility. Core skills: paper, pipeline, paper. Recent work includes created dashboards to surface business KPIs. Contributed to created dashboards to surface business KPIs and owned cloud, pipeline.",AI Researcher,339
7231,"Involved in POC. Involved in open-source. Contributed to ran reproducible experiments and released code with ablations and owned python, monitoring, cloud. Core skills: theory, cloud. Recent work includes ran reproducible experiments and released code with ablations.",AI Researcher,331
764,"Responsibilities: etl, testing, gcp. Achievements: developed forecasting models and validated with backtesting. Responsibilities: pandas, etl, testing. Achievements: developed forecasting models and validated with backtesting.",Data Scientist,64
5019,"Responsibilities: automation, testing, visualization. Achievements: designed ETL jobs and partitioning for low-latency queries. Core skills: visualization, data warehousing, testing, automation. Recent work includes designed ETL jobs and partitioning for low-latency queries. Contributed to designed metric-driven experiments and tracked results and owned data warehousing, automation. Core skills: testing, data warehousing. Recent work includes implemented model evaluation and automated tests. Focused on robust monitoring, logging, and reproducibility.",Data Engineer,219
4903,"Core skills: feature engineering, testing. Recent work includes deployed services as containers with CI/CD. Contributed to implemented model evaluation and automated tests and owned testing, distributed compute engine.",Data Engineer,203
8093,"Generative AI — experience building ML & data products. Responsibilities: latency, inpainting, gcp. Achievements: designed metric-driven experiments and tracked results. Core skills: latency, python. Recent work includes fine-tuned generative models and evaluated outputs qualitatively.",Generative AI,493
6843,"Responsibilities: python, docker, monitoring, self-supervised. Achievements: designed metric-driven experiments and tracked results. Contributed to implemented model evaluation and automated tests and owned monitoring, python, docker. Core skills: python, docker. Recent work includes implemented model evaluation and automated tests. Core skills: self-supervised, docker, monitoring. Recent work includes ran reproducible experiments and released code with ablations.",AI Researcher,343
2165,"Worked on tensorflow, pipeline. Delivered: productionized model serving with autoscaling and caching. Worked on pipeline, tensorflow. Delivered: built scalable data pipelines with retries and monitoring. Responsibilities: pipeline, sql, model registry. Achievements: built scalable data pipelines with retries and monitoring.",ML Engineer,165
1862,"Core skills: cloud, aws, statistical modeling, testing. Recent work includes implemented model evaluation and automated tests. Worked on cloud, statistical modeling, statistical modeling, testing. Delivered: designed metric-driven experiments and tracked results. Core skills: testing, aws. Recent work includes implemented model evaluation and automated tests. Responsibilities: regression, aws. Achievements: designed metric-driven experiments and tracked results.",Data Scientist,62
7850,"Contributed to wrote papers describing novel architectures and results and owned aws, api. Worked on sql, api, aws, python. Delivered: wrote papers describing novel architectures and results. Core skills: aws, sql, python, api. Recent work includes deployed services as containers with CI/CD.",AI Researcher,350
